id_carro,modelo_carro,preco,cod_marca
1,Avalon,$78401.95,54
2,RDX,$95987.38,1
3,Golf,$61274.55,55
4,EX,$84981.12,23
5,Escort,$77466.89,17
6,Expedition,$84698.71,17
7,Voyager,$95567.75,42
8,Civic,$84749.22,20
9,Defender,$98600.79,29
10,V8 Vantage S,$94791.61,2
11,C70,$97874.76,56
12,G-Series 1500,$71638.24,10
13,Legacy,$95850.12,52
14,DB9,$86707.30,2
15,Mulsanne,$70453.70,6
16,RX,$46752.60,30
17,Rabbit,$78048.08,55
18,Q,$65193.95,23
19,S60,$65396.98,56
20,Envoy,$68994.97,18
21,STS,$93350.55,9
22,Diamante,$62183.02,39
23,Accord,$67419.94,20
24,Leganza,$48448.91,13
25,X5,$99866.05,5
26,Yukon XL 1500,$62798.89,18
27,DBS,$66990.97,2
28,6 Series,$83110.98,5
29,Quattro,$70659.25,3
30,Electra,$66044.68,8
31,2500,$84889.07,10
32,Boxster,$76967.22,44
33,Mustang,$49088.78,17
34,Ram 1500 Club,$95066.12,14
35,Volt,$88974.61,10
36,XK,$81515.92,25
37,G55 AMG,$69334.82,37
38,Mark LT,$87024.05,31
39,9-5,$46553.89,46
40,Fit,$55448.35,20
41,Vandura 2500,$87010.01,18
42,B-Series,$88693.03,36
43,Continental,$83230.01,6
44,Express 2500,$56653.51,10
45,MKZ,$53358.67,31
46,Crown Victoria,$91605.58,17
47,S-Class,$63398.44,37
48,S80,$53246.91,56
49,J,$50558.87,23
50,Suburban 1500,$51716.15,10
51,Axiom,$52559.48,24
52,Freestar,$52971.00,17
53,Xterra,$49546.12,40
54,Vibe,$71429.25,43
55,Safari,$58738.53,18
56,ES,$58238.39,30
57,1500,$70293.96,10
58,Celica,$47591.66,54
59,LTD Crown Victoria,$94694.22,17
60,RL,$60125.97,1
61,Ram Van 3500,$55570.81,14
62,Corolla,$77041.03,54
63,Impreza,$63392.62,52
64,Caravan,$84696.06,14
65,Sable,$85562.36,38
66,Regal,$99624.12,8
67,900,$68931.60,46
68,2500,$45557.06,18
69,Camry Hybrid,$90029.81,54
70,I,$60877.56,23
71,1000,$82354.14,43
72,Milan,$74124.14,38
73,Prizm,$65277.41,19
74,S-Type,$99692.82,25
75,del Sol,$80291.13,20
76,rio,$96886.31,55
77,Defender,$46902.42,29
78,Monte Carlo,$74467.74,10
79,A7,$75448.75,3
80,xA,$64921.81,48
81,928,$75144.55,44
82,Grand Prix,$78256.06,43
83,Monterey,$49072.07,38
84,Grand Marquis,$51672.79,38
85,Discovery,$75703.05,29
86,Celica,$87951.85,54
87,Truck,$57007.15,39
88,Tahoe,$63963.18,10
89,Metro,$65937.07,19
90,Yukon XL,$55900.60,18
91,Grand Prix,$90837.37,43
92,XK Series,$98191.97,25
93,Daewoo Lacetti,$85172.19,53
94,E-Series,$54544.30,17
95,Eldorado,$98192.75,9
96,Tiburon,$50271.23,22
97,Explorer Sport Trac,$77874.85,17
98,Ram 2500,$49891.86,14
99,QX56,$92070.81,23
100,Navigator,$54220.13,31
101,Lucerne,$83309.52,8
102,Quest,$84334.89,40
103,FJ Cruiser,$73440.59,54
104,Camaro,$74098.03,10
105,E-Class,$96865.47,37
106,A6,$79907.53,3
107,Passat,$86129.61,55
108,B-Series,$46977.95,36
109,LFA,$72579.99,30
110,RX,$83780.35,30
111,Avalon,$79149.89,54
112,626,$63618.25,36
113,Ram 2500,$82608.04,14
114,Range Rover Sport,$89987.92,29
115,MPV,$93965.04,36
116,Tucson,$80458.31,22
117,100,$55023.26,3
118,Taurus,$80544.37,17
119,Riviera,$50180.35,8
120,C8 Spyder,$93235.43,50
121,2CV,$59625.57,12
122,A4,$81209.07,3
123,V50,$62907.91,56
124,V50,$88741.10,56
125,Galant,$55856.56,39
126,Taurus,$66074.65,17
127,LS,$95292.80,30
128,Suburban 1500,$76071.37,10
129,IPL G,$52861.75,23
130,FR-S,$68336.42,48
131,Integra,$79011.63,1
132,Prelude,$73902.58,20
133,Cabriolet,$86707.05,55
134,Amanti,$98651.65,27
135,Solara,$60334.46,54
136,240SX,$87853.77,40
137,Commander,$68850.13,26
138,Patriot,$89959.75,26
139,GTO,$78356.52,43
140,Odyssey,$91804.80,20
141,Mustang,$51926.66,17
142,GS,$70123.26,30
143,S10,$49137.31,10
144,Sedona,$53096.75,27
145,Ram 1500,$75494.25,14
146,Express,$49056.90,10
147,Viper,$47254.93,14
148,960,$91967.58,56
149,Stylus,$46997.87,24
150,Grand Marquis,$56264.89,38
151,GS,$88771.34,30
152,Ram 2500,$93632.98,14
153,Titan,$72329.87,40
154,Pajero,$92529.72,39
155,Ridgeline,$51724.74,20
156,550,$94360.60,5
157,S80,$71592.01,56
158,Diablo,$63767.00,28
159,SRX,$93251.19,9
160,Jetta,$71944.75,55
161,Quattro,$92913.57,3
162,Soul,$75765.80,27
163,Rendezvous,$57605.03,8
164,RX,$69993.41,30
165,Pathfinder,$91742.44,40
166,Aveo,$45082.42,10
167,Firefly,$97620.59,43
168,Escort,$53343.40,17
169,S-Class,$51411.18,37
170,62,$99574.51,35
171,240,$52885.44,56
172,Quattroporte,$47803.98,34
173,530,$89296.22,5
174,Town Car,$55991.84,31
175,RX,$68733.55,30
176,Thunderbird,$62453.21,17
177,Phantom,$57794.88,45
178,GTO,$91980.45,39
179,Cayman,$55771.17,44
180,300SL,$63052.10,37
181,H3,$87161.04,21
182,Tundra,$86835.39,54
183,Prius,$80048.08,54
184,5000CS,$87211.67,3
185,H1,$54954.89,21
186,Fifth Ave,$51917.06,11
187,S60,$49184.30,56
188,Fit,$99627.45,20
189,Azera,$77223.07,22
190,DTS,$70599.05,9
191,300ZX,$48977.47,40
192,Tiguan,$78303.33,55
193,MR2,$46715.51,54
194,GTI,$50612.53,55
195,S-Class,$46297.04,37
196,Sunbird,$74815.76,43
197,Patriot,$94623.64,26
198,A3,$99413.38,3
199,Econoline E250,$62348.12,17
200,Pajero,$85014.42,39
201,Suburban 1500,$68303.50,18
202,Aztek,$48292.92,43
203,Truck,$90769.69,39
204,Ram 2500 Club,$66582.00,14
205,X6 M,$55071.77,5
206,Mustang,$93492.30,17
207,GT-R,$64054.62,40
208,Countach,$88363.14,28
209,Bronco,$67474.88,17
210,Silhouette,$85575.55,41
211,Corvette,$70611.90,10
212,Fleetwood,$52055.09,9
213,Savana 2500,$71153.69,18
214,X5 M,$64033.60,5
215,Five Hundred,$69267.39,17
216,M3,$48398.74,5
217,Tacoma,$65303.08,54
218,Yukon XL 2500,$69274.87,18
219,Ram Van B350,$79086.81,14
220,S2000,$63713.54,20
221,F250,$98421.52,17
222,Jetta,$59095.25,55
223,A8,$68241.86,3
224,Tracer,$58431.23,38
225,XK Series,$49608.64,25
226,Eos,$49155.50,55
227,Grand Cherokee,$76826.50,26
228,TT,$45138.40,3
229,GTI,$88682.43,55
230,Thunderbird,$78179.55,17
231,Aerostar,$83764.41,17
232,Tacoma,$69050.50,54
233,RL,$91042.64,1
234,4Runner,$92615.72,54
235,Cougar,$72798.84,38
236,Electra,$52760.21,8
237,Golf,$66249.75,55
238,Genesis,$58439.29,22
239,Challenger,$67626.20,14
240,Ram Van 3500,$68626.76,14
241,Space,$99528.78,24
242,GTI,$84958.66,55
243,Discovery,$85827.73,29
244,Corolla,$92869.72,54
245,Sephia,$99726.07,27
246,Land Cruiser,$98536.54,54
247,Outlander,$48440.05,39
248,Esteem,$57980.50,53
249,Topaz,$77778.47,38
250,H3,$88416.51,21
251,80,$46560.75,3
252,Grand Am,$59863.27,43
253,RSX,$84861.40,1
254,Tempo,$49135.24,17
255,Avalon,$58753.38,54
256,A8,$68321.65,3
257,Prelude,$85968.61,20
258,350Z,$66988.47,40
259,Sonoma Club,$91729.73,18
260,Riviera,$81225.30,8
261,Bonneville,$60844.14,43
262,Continental,$83627.67,31
263,Escort,$50863.78,17
264,Challenger,$70579.03,14
265,Range Rover,$66492.18,29
266,Safari,$80475.71,18
267,Tundra,$81752.49,54
268,6000,$66675.04,43
269,Sorento,$68767.43,27
270,Vantage,$48515.58,2
271,Ram Van 1500,$91248.01,14
272,Concorde,$86014.53,11
273,Stratus,$85765.21,14
274,Reatta,$50534.21,8
275,2500 Club Coupe,$68796.89,18
276,GS,$64550.43,30
277,Sierra 2500,$71015.97,18
278,Skylark,$65492.43,8
279,LaCrosse,$66366.74,8
280,Ram 1500,$92809.60,14
281,Prowler,$97236.38,11
282,F-Series,$56122.18,17
283,240SX,$94383.87,40
284,DeVille,$48049.75,9
285,Mazda6,$96214.05,36
286,Town & Country,$92642.76,11
287,XC70,$45475.14,56
288,Reventón,$58272.90,28
289,CX-9,$67201.87,36
290,DBS,$67440.68,2
291,911,$49751.39,44
292,Forester,$88166.71,52
293,Trooper,$76997.04,24
294,Swift,$48835.42,53
295,Aurora,$66417.73,41
296,xB,$63864.71,48
297,Civic,$96044.05,20
298,Thunderbird,$78519.75,17
299,X-Type,$56271.60,25
300,SJ,$85019.05,53
301,Mountaineer,$52316.62,38
302,3 Series,$64598.53,5
303,Impala,$99214.95,10
304,Expo,$75937.03,39
305,525,$62781.72,5
306,D250,$98617.99,14
307,Camaro,$92075.41,10
308,Lumina,$79857.88,10
309,Arnage,$70430.91,6
310,SRX,$87718.73,9
311,Thunderbird,$51409.99,17
312,Regal,$78089.06,8
313,Expedition EL,$83232.39,17
314,Ram 1500 Club,$81882.24,14
315,Sunfire,$90444.00,43
316,Starion,$63554.60,39
317,4Runner,$90024.81,54
318,Prelude,$60673.19,20
319,Vision,$80349.11,15
320,E-Class,$95009.82,37
321,Lancer,$66232.17,39
322,Metro,$61533.51,19
323,Sidekick,$65373.27,53
324,Bravada,$51586.34,41
325,Express 1500,$61925.86,10
326,RAV4,$61721.30,54
327,Montero,$58364.44,39
328,Axiom,$83861.27,24
329,944,$87930.76,44
330,Golf,$82099.83,55
331,Navigator L,$91610.46,31
332,Express 3500,$81385.17,10
333,Mini,$56099.68,4
334,Ion,$50982.94,47
335,Monaco,$88349.81,14
336,S8,$82025.61,3
337,Tiburon,$57422.09,22
338,C-Class,$91381.18,37
339,Miata MX-5,$73890.99,36
340,CR-V,$78922.15,20
341,F350,$62234.85,17
342,Flex,$90374.60,17
343,SLX,$67665.95,1
344,ES,$73715.96,30
345,Grand Am,$85109.95,43
346,5 Series,$98217.26,5
347,Montero Sport,$58191.22,39
348,Escort,$74133.01,17
349,Quest,$45477.13,40
350,S80,$95245.95,56
351,Sonata,$64684.44,22
352,rio,$90946.58,55
353,Accord,$78911.82,20
354,Grand Prix,$47183.31,43
355,Pacifica,$66773.79,11
356,Grand Vitara,$49349.56,53
357,Z4,$63346.53,5
358,DBS,$57147.38,2
359,Regal,$98919.67,8
360,Express 3500,$80529.23,10
361,Bravada,$45893.13,41
362,Accord,$55648.79,20
363,Passat,$69074.08,55
364,Impreza,$88630.08,52
365,Bronco II,$59790.26,17
366,626,$92701.35,36
367,Amanti,$46406.35,27
368,Ranger,$95742.92,17
369,Outlook,$68318.15,47
370,S5,$80416.71,3
371,Lancer,$97328.57,39
372,LaCrosse,$73942.69,8
373,MX-6,$98306.29,36
374,S-Series,$84998.84,47
375,Tiburon,$87976.57,22
376,Metro,$96962.84,10
377,Solstice,$84830.63,43
378,Vandura 2500,$66997.77,18
379,Supra,$78700.37,54
380,F430,$98587.31,16
381,Colorado,$93589.11,10
382,9-3,$92553.72,46
383,Optima,$48635.27,27
384,Accent,$77336.42,22
385,TT,$70156.30,3
386,G6,$59575.07,43
387,Grand Caravan,$92677.23,14
388,2500,$89260.86,18
389,Explorer Sport Trac,$78196.35,17
390,CTS,$53143.83,9
391,Escalade,$57831.66,9
392,Astro,$55529.55,10
393,Aspire,$78604.29,17
394,5 Series,$59419.97,5
395,Civic Si,$64116.95,20
396,S80,$97591.71,56
397,Passport,$67281.01,20
398,Xtra,$98916.51,54
399,RAV4,$89382.92,54
400,SJ,$99323.96,53
401,Dakota Club,$49211.20,14
402,Tundra,$81515.18,39
403,Firebird,$83813.46,43
404,A6,$62718.36,3
405,Montero Sport,$51872.43,39
406,SLX,$81008.49,1
407,Sportage,$94531.85,27
408,Liberty,$71592.18,26
409,Z3,$53420.86,5
410,900,$95627.17,46
411,XF,$94563.91,25
412,S60,$70699.85,56
413,X5,$93976.05,5
414,Celica,$92245.39,54
415,F150,$95823.89,17
416,Pilot,$70977.77,20
417,LeSabre,$50921.86,8
418,Cobalt,$70498.34,10
419,RX,$60724.95,30
420,XLR-V,$50360.58,9
421,CX-7,$47702.46,36
422,Camry,$66976.98,54
423,Mustang,$45505.46,17
424,Tiguan,$76426.36,55
425,XLR,$78085.14,9
426,RX-7,$90050.08,36
427,Tracer,$98585.19,38
428,CL-Class,$51112.95,37
429,Aerostar,$87053.73,17
430,E150,$70459.42,17
431,CLS-Class,$62736.57,37
432,HHR Panel,$54440.90,10
433,SC,$59469.43,30
434,Grand Caravan,$45943.45,14
435,Corvette,$80533.99,10
436,5 Series,$88631.50,5
437,SC,$88448.84,30
438,LS,$91897.70,30
439,Capri,$57161.51,38
440,Mustang,$69971.28,17
441,Endeavor,$60464.94,39
442,New Beetle,$68411.44,55
443,Tundra,$81990.74,54
444,Corolla,$93492.42,54
445,LR3,$74613.69,29
446,GS,$79928.64,30
447,Contour,$72937.19,17
448,Sonata,$85026.19,22
449,Crown Victoria,$67266.14,17
450,Ram Van 1500,$55858.14,14
451,Continental Mark VII,$67729.55,31
452,MKS,$58584.41,31
453,Sierra,$84688.30,18
454,B-Series Plus,$61607.66,36
455,RAV4,$50091.77,54
456,Accent,$85172.93,22
457,Savana 1500,$78899.51,18
458,CL-Class,$51383.58,37
459,VUE,$92787.64,47
460,M-Class,$59346.60,37
461,Bonneville,$47805.33,43
462,Passat,$60334.85,55
463,Sentra,$98454.64,40
464,Park Avenue,$79724.95,8
465,V50,$79333.47,56
466,Terrain,$95460.32,18
467,Yukon XL 2500,$89070.29,18
468,Skylark,$60754.11,8
469,Legacy,$97978.03,52
470,57,$72731.75,35
471,Armada,$73382.38,40
472,S40,$73025.75,56
473,XL-7,$57179.59,53
474,Murciélago LP640,$56507.76,28
475,Previa,$60713.14,54
476,Rodeo,$49999.82,24
477,FJ Cruiser,$81916.52,54
478,J,$45772.84,23
479,A6,$72403.12,3
480,Prizm,$71213.04,10
481,S-Type,$92520.76,25
482,S60,$85793.33,56
483,Colorado,$65290.18,10
484,Hombre,$88192.45,24
485,Escalade EXT,$98129.94,9
486,E-Series,$67826.63,17
487,H3,$73334.24,21
488,Sonata,$97340.15,22
489,Regal,$92922.81,8
490,Firefly,$84820.10,43
491,Cougar,$46991.94,38
492,Mazdaspeed6,$53456.02,36
493,Brat,$86390.28,52
494,xD,$56233.14,48
495,940,$83004.30,56
496,G,$99072.71,23
497,Prizm,$87703.96,19
498,M5,$49183.65,5
499,S60,$48719.10,56
500,S60,$57623.52,56
501,S40,$59867.09,56
502,80,$98667.61,3
503,Stratus,$75482.20,14
504,SL-Class,$73857.22,37
505,V70,$63595.97,56
506,Dakota Club,$95872.31,14
507,Camry,$83006.03,54
508,Sierra 2500,$91261.83,18
509,Phaeton,$68710.51,55
510,SRX,$79225.01,9
511,Range Rover Sport,$57338.51,29
512,Corvette,$75835.70,10
513,Grand Am,$64555.35,43
514,9-3,$55272.13,46
515,Alero,$49655.50,41
516,Camaro,$83526.77,10
517,E-Class,$63983.67,37
518,Galant,$59271.38,39
519,Crown Victoria,$51168.82,17
520,Cabriolet,$58182.84,55
521,IPL G,$61812.09,23
522,Matrix,$56139.66,54
523,Montero Sport,$83389.87,39
524,Suburban 1500,$64568.23,10
525,Lancer Evolution,$69681.18,39
526,Miata MX-5,$81869.63,36
527,Cavalier,$82040.34,10
528,RX-8,$94032.71,36
529,Tahoe,$55068.60,10
530,Camry,$93307.39,54
531,Nitro,$67533.26,14
532,Yukon XL 2500,$94827.76,18
533,Express 2500,$99803.08,10
534,Sable,$75839.31,38
535,S4,$68600.98,3
536,6 Series,$55262.09,5
537,Corsica,$64688.20,10
538,Sequoia,$59214.93,54
539,Windstar,$66348.51,17
540,XC90,$92128.07,56
541,V8 Vantage,$84895.85,2
542,Oasis,$54185.28,24
543,Aspire,$81521.03,17
544,9-7X,$71884.14,46
545,Phantom,$69706.66,45
546,S4,$92628.51,3
547,Civic,$92109.53,20
548,I,$71282.97,23
549,Savana 1500,$58847.44,18
550,Vandura 2500,$90780.98,18
551,Sonoma Club,$59181.29,18
552,Jetta,$51713.09,55
553,Montero,$51681.62,39
554,Tracker,$51597.62,10
555,Durango,$86639.42,14
556,Diamante,$63406.63,39
557,Rogue,$60314.14,40
558,Cooper Clubman,$78590.08,33
559,F250,$82967.59,17
560,Pajero,$80301.86,39
561,NSX,$51341.45,1
562,Diamante,$96048.60,39
563,B-Series Plus,$97853.97,36
564,Outlook,$49510.92,47
565,Avanti,$98629.28,51
566,Seville,$96507.84,9
567,X5,$95273.46,5
568,9-7X,$88634.53,46
569,57,$95086.61,35
570,Prius Plug-in Hybrid,$52434.08,54
571,A4,$66043.05,3
572,Savana 1500,$49351.82,18
573,Grand Vitara,$64001.19,53
574,Countach,$65571.69,28
575,XLR,$65060.33,9
576,Raider,$89386.39,39
577,MR2,$98638.61,54
578,Tempo,$58681.41,17
579,F250,$93254.83,17
580,GTI,$50669.05,55
581,RX,$77221.42,30
582,Voyager,$56539.76,11
583,Endeavor,$94300.28,39
584,57,$77667.74,35
585,W201,$60672.89,37
586,Corvette,$68332.16,10
587,Expedition,$78580.95,17
588,Impala,$65246.97,10
589,Ram Van 1500,$76110.21,14
590,Range Rover Sport,$99487.16,29
591,Mazda6,$74016.20,36
592,Envoy XL,$59926.81,18
593,Tundra,$86677.85,39
594,RX-8,$97637.06,36
595,Bonneville,$58528.30,43
596,Intrigue,$93325.33,41
597,Maxima,$51352.68,40
598,Sprinter,$65874.74,37
599,Laser,$90088.62,42
600,C70,$87245.42,56
601,NSX,$63519.05,1
602,Escalade ESV,$68767.12,9
603,Odyssey,$54557.05,20
604,Windstar,$95321.02,17
605,3000GT,$80052.30,39
606,Savana,$67328.33,18
607,G5,$91206.63,43
608,Explorer Sport Trac,$93579.98,17
609,Monte Carlo,$90526.79,10
610,XJ Series,$50777.87,25
611,Sequoia,$51713.93,54
612,del Sol,$60882.38,20
613,Grand Am,$97656.42,43
614,Ion,$92930.65,47
615,Caravan,$48099.89,14
616,C-Class,$93075.69,37
617,Savana 1500,$85392.12,18
618,Intrigue,$49463.45,41
619,Silhouette,$93931.26,41
620,DeVille,$90011.48,9
621,Boxster,$46049.05,44
622,9-5,$86967.41,46
623,Envoy XL,$71299.42,18
624,Camry Solara,$97022.96,54
625,E350,$47505.12,17
626,Passat,$59798.63,55
627,Grand Marquis,$91235.01,38
628,Custom Cruiser,$52508.15,41
629,Riviera,$89194.25,8
630,Cayman,$47180.82,44
631,4Runner,$75967.93,54
632,XK Series,$70019.74,25
633,RVR,$89529.08,39
634,1500,$45539.22,18
635,XF,$85837.57,25
636,Park Avenue,$86084.93,8
637,Aviator,$98307.05,31
638,Legend,$47400.94,1
639,S-Class,$90556.32,37
640,ES,$59451.90,30
641,Chevette,$82599.35,43
642,2500,$56954.19,18
643,SC,$61224.90,30
644,Windstar,$46626.11,17
645,Festiva,$80276.93,17
646,SLX,$76518.37,1
647,Fusion,$87917.73,17
648,Mustang,$85832.30,17
649,Acclaim,$90097.02,42
650,Murciélago,$46018.73,28
651,QX56,$67439.09,23
652,Concorde,$54499.00,11
653,F350,$96069.52,17
654,Arnage,$80617.03,6
655,C30,$50005.69,56
656,Accord,$92343.43,20
657,E-Series,$99167.00,17
658,S-Series,$48740.80,47
659,MKZ,$65500.18,31
660,Suburban 2500,$73289.65,10
661,Touareg,$89229.81,55
662,Grand Cherokee,$58979.09,26
663,Sedona,$61657.07,27
664,Camaro,$85174.89,10
665,Sebring,$65783.13,11
666,Savana 1500,$51952.94,18
667,Ridgeline,$58172.58,20
668,S-Series,$58434.08,47
669,Yukon,$96340.99,18
670,Town Car,$59824.09,31
671,Daewoo Lacetti,$70525.42,53
672,Vandura 3500,$86878.29,18
673,Suburban 1500,$64130.23,10
674,300,$46191.21,11
675,LeMans,$55854.14,43
676,Patriot,$63454.86,26
677,A3,$74369.37,3
678,Countach,$53399.15,28
679,V70,$53643.00,56
680,XC90,$85862.94,56
681,A4,$60415.80,3
682,Daewoo Lacetti,$82773.74,53
683,V70,$84712.23,56
684,Omni,$86783.48,14
685,968,$75769.06,44
686,5 Series,$52882.58,5
687,Rally Wagon 1500,$89241.37,18
688,Equator,$55218.23,53
689,LUV,$88690.54,10
690,200SX,$76179.86,40
691,Land Cruiser,$76768.17,54
692,DTS,$48988.59,9
693,Vantage,$79158.90,2
694,Azera,$49783.81,22
695,W123,$63966.41,37
696,GTI,$59641.07,55
697,SVX,$70184.25,52
698,M3,$76964.48,5
699,Ion,$96125.89,47
700,Q,$71416.46,23
701,Cordia,$72562.53,39
702,57,$55152.93,35
703,XL-7,$66398.75,53
704,Vitara,$62379.42,53
705,Cougar,$53473.81,38
706,RX-7,$90052.44,36
707,Scirocco,$64384.76,55
708,Park Avenue,$55625.07,8
709,Econoline E250,$88061.28,17
710,Grand Am,$63015.35,43
711,Altima,$93383.66,40
712,Clubman,$54984.64,33
713,F250,$96362.66,17
714,Outlander,$68498.62,39
715,DeVille,$80326.23,9
716,Firebird,$82223.16,43
717,Safari,$87867.21,43
718,Eos,$59167.84,55
719,Mini Cooper,$48429.24,4
720,Phantom,$48954.19,45
721,Electra,$50132.49,8
722,Starion,$91959.93,39
723,TundraMax,$49009.40,54
724,Xterra,$62675.88,40
725,929,$91013.76,36
726,Explorer Sport,$87926.70,17
727,Truck,$78843.49,39
728,Blazer,$81870.88,10
729,2500,$84681.31,18
730,Vibe,$86151.77,43
731,300,$78285.54,11
732,Explorer Sport Trac,$48060.85,17
733,MR2,$67223.62,54
734,Express 1500,$61293.43,10
735,Mustang,$88994.82,17
736,2500,$47699.89,10
737,Prizm,$83991.45,10
738,Bronco II,$80601.75,17
739,L300,$82726.06,39
740,Pathfinder,$82110.17,40
741,Xtra,$70630.25,54
742,M,$95297.76,23
743,Mystique,$61096.35,38
744,Flex,$95543.73,17
745,Town Car,$85169.53,31
746,4Runner,$94331.79,54
747,Camaro,$88760.59,10
748,Electra,$80357.52,8
749,Corvette,$55659.53,10
750,Safari,$89000.80,18
751,S80,$82409.45,56
752,Maxima,$91148.97,40
753,Suburban 1500,$96093.81,18
754,Impala,$69772.20,10
755,Grand Prix,$92290.85,43
756,M,$59091.23,23
757,i-370,$58607.23,24
758,Tacoma,$53819.52,54
759,Eldorado,$97078.45,9
760,Park Avenue,$76688.38,8
761,LHS,$63993.19,11
762,Tracer,$65305.50,38
763,612 Scaglietti,$49445.47,16
764,Ram Van 2500,$69240.96,14
765,GT500,$59299.01,49
766,Aerostar,$99069.39,17
767,LX,$57841.93,30
768,Matrix,$49438.67,54
769,Grand Prix,$65925.67,43
770,Caprice,$46709.66,10
771,LX,$56425.09,30
